0.44	0.46	0.43	0.4
0.44	0.46	0.43	0.4
0.44	0.46	0.43	0.4
0.45	0.46	0.41	0.44
0.45	0.49	0.41	0.44
0.45	0.46	0.4	0.41
0.435	0.525	0.39	0.405
0.44	0.52	0.38	0.41
0.43	0.46	0.43	0.4
0.445	0.455	0.405	0.42
0.45	0.46	0.41	0.44
0.43	0.53	0.4	0.4
0.43	0.53	0.4	0.4
0.43	0.46	0.43	0.4
0.42	0.58	0.38	0.41
0.42	0.58	0.38	0.41
0.41	0.57	0.34	0.39
0.43	0.46	0.43	0.4
0.44	0.45	0.41	0.43
0.44	0.46499999999999997	0.435	0.42000000000000004
0.45	0.47	0.44	0.44
0.41	0.57	0.34	0.39
0.41	0.56	0.34	0.38
0.41	0.56	0.39	0.44
0.4	0.56	0.34	0.36
0.45	0.43	0.38	0.45
0.41	0.56	0.39	0.44
0.45	0.45	0.41	0.45
0.42	0.55	0.34	0.39
0.45	0.45	0.41	0.45
0.42	0.55	0.34	0.39
0.43	0.47	0.42	0.39
0.42	0.55	0.34	0.39
0.44	0.44999999999999996	0.4	0.42000000000000004
0.42	0.55	0.34	0.39
0.43	0.47	0.42	0.39
0.41	0.51	0.35	0.39
0.43	0.47	0.42	0.39
0.41	0.51	0.35	0.39
0.41	0.52	0.33	0.39
0.41	0.52	0.33	0.39
0.44	0.43	0.38	0.42
0.41	0.52	0.33	0.39
0.44	0.45	0.4	0.39
0.41	0.52	0.33	0.39
0.4	0.51	0.34	0.36
0.44	0.45	0.4	0.39
0.45	0.42	0.41	0.44
0.38	0.53	0.35	0.38
0.4	0.51	0.34	0.36
0.44	0.43	0.38	0.42
0.38	0.53	0.35	0.38
0.44	0.45	0.4	0.39
0.44	0.45	0.4	0.39
0.39	0.52	0.37	0.39
0.38	0.51	0.35	0.37
0.39	0.52	0.37	0.39
0.4	0.51	0.34	0.33
0.4	0.51	0.34	0.33
0.46	0.4	0.42	0.43
0.43	0.42	0.41	0.39
0.45	0.42	0.42	0.44
0.38	0.51	0.35	0.37
0.4	0.52	0.375	0.385
0.4	0.52	0.33	0.33
0.43	0.42	0.41	0.39
0.4	0.52	0.33	0.33
0.43	0.42	0.41	0.39
0.41500000000000004	0.44499999999999995	0.385	0.405
0.38	0.47	0.35	0.37
0.38	0.51	0.35	0.37
0.4	0.48	0.35	0.33
0.38	0.47	0.36	0.37
0.4	0.48	0.35	0.33
0.46	0.42	0.38	0.43
0.45	0.42	0.42	0.39
0.41	0.52	0.38	0.38
0.46	0.42	0.38	0.43
0.48	0.42	0.4	0.44
0.4	0.48	0.37	0.34
0.46499999999999997	0.42	0.41000000000000003	0.41500000000000004
0.38	0.45	0.33	0.37
0.41	0.52	0.38	0.38
0.45	0.42	0.42	0.39
0.38	0.45	0.33	0.37
0.41	0.52	0.38	0.38
0.41	0.52	0.38	0.38
0.41	0.49	0.36	0.35
0.47	0.44	0.45	0.43
0.46	0.42	0.44	0.4000000000000001
0.38	0.47	0.34	0.38
0.46	0.42	0.44	0.4
0.46	0.41	0.4	0.45
0.41	0.52	0.36999999999999994	0.38000000000000006
0.38	0.47	0.34	0.38
0.46	0.41	0.4	0.45
0.46	0.44	0.41	0.41
0.41	0.52	0.37	0.38
0.41	0.49	0.36	0.35
0.46	0.44	0.41	0.41
0.41	0.49	0.36	0.35
0.47	0.445	0.41	0.415
0.47	0.42	0.46	0.43
0.4633333333333333	0.4266666666666667	0.44	0.43
0.48	0.45	0.41	0.42
0.43	0.49	0.36	0.35
0.49	0.43	0.44	0.42
0.41	0.52	0.37	0.36
0.48	0.41	0.43	0.42
0.48	0.41	0.43	0.42
0.49	0.43	0.44	0.42
0.41	0.52	0.37	0.36
0.42	0.48	0.34	0.38
0.49	0.43	0.44	0.42
0.43	0.44	0.38	0.35
0.41	0.52	0.37	0.36
0.45	0.44	0.38	0.36
0.43	0.44	0.38	0.35
0.48	0.41	0.46	0.43
0.48	0.39	0.43	0.44
0.41	0.52	0.37	0.36
0.45	0.44	0.38	0.36
0.42	0.45	0.38	0.35
0.42	0.45	0.38	0.35
0.42	0.48	0.34	0.38
0.49	0.43	0.46	0.42
0.44	0.48	0.37	0.36
0.49	0.43	0.46	0.42
0.48	0.39	0.43	0.44
0.41	0.49	0.36000000000000004	0.36000000000000004
0.44	0.48	0.37	0.36
0.48	0.44	0.47	0.35
0.49	0.43	0.46	0.42
0.41	0.49	0.36	0.36
0.42	0.47	0.34	0.36
0.41	0.49	0.34	0.38
0.48	0.41	0.46	0.43
0.49	0.43	0.46	0.42
0.48	0.44	0.47	0.35
0.48	0.37	0.46	0.44
0.48	0.37	0.46	0.44
0.49	0.43	0.46	0.42
0.43	0.48	0.41	0.35
0.48	0.48	0.45	0.35
0.48	0.4	0.48	0.42
0.41	0.49	0.36	0.38
0.48	0.4	0.48	0.42
0.41	0.49	0.36	0.38
0.48	0.48	0.45	0.35
0.51	0.39	0.46	0.42
0.41	0.49	0.36	0.38
0.43	0.49	0.37	0.35
0.48	0.46	0.43	0.35
0.48	0.46	0.43	0.35
0.41	0.49	0.38	0.39
0.43	0.49	0.37	0.35
0.48	0.46	0.44	0.35
0.51	0.37	0.5	0.43
0.51	0.39	0.48	0.45
0.43	0.49	0.38	0.37
0.41	0.49	0.38	0.39
0.49	0.36	0.49	0.46
0.51	0.39	0.48	0.45
0.43	0.49	0.38	0.37
0.43	0.49	0.38	0.37
0.51	0.37	0.5	0.43
0.41	0.48	0.37	0.36
0.48	0.46	0.44	0.35
0.515	0.38	0.49	0.44
0.49	0.36	0.49	0.46
0.51	0.37	0.5	0.43
0.43	0.5	0.36	0.36
0.41	0.48	0.37	0.36
0.47	0.48	0.42	0.35
0.43	0.5	0.36	0.36
0.43	0.5	0.36	0.36
0.52	0.39	0.48	0.45
0.54	0.38	0.48	0.45
0.43	0.5	0.4	0.36
0.49	0.36	0.5	0.47
0.54	0.38	0.48	0.45
0.49	0.36	0.5	0.47
0.43	0.49	0.37	0.36
0.49	0.415	0.46499999999999997	0.41
0.46	0.48	0.42	0.35
0.43	0.5	0.4	0.36
0.53	0.38	0.46	0.43
0.52	0.35	0.51	0.47
0.43	0.49	0.37	0.36
0.53	0.38	0.46	0.43
0.52	0.35	0.51	0.47
0.43	0.5	0.4	0.36
0.53	0.38	0.45	0.43
0.53	0.38	0.46	0.43
0.43	0.5	0.4	0.36
0.54	0.38000000000000006	0.44	0.42
0.54	0.38	0.44	0.42
0.53	0.38	0.45	0.43
0.53	0.38	0.45	0.43
0.54	0.36	0.48	0.45
0.53	0.39	0.43	0.41
0.53	0.38	0.45	0.43
0.54	0.36	0.48	0.45
0.46	0.48	0.41	0.35
0.53	0.39	0.43	0.41
0.46	0.48	0.41	0.35
0.53	0.43	0.43	0.41
0.52	0.35	0.5	0.45
0.53	0.43	0.43	0.41
0.42	0.5	0.39	0.35
0.42	0.5	0.39	0.35
0.53	0.43	0.43	0.41
0.52	0.35	0.51	0.47
0.42	0.5	0.39	0.35
0.55	0.38	0.44	0.43
0.53	0.43	0.43	0.41
0.54	0.38	0.45	0.42
0.52	0.3499999999999999	0.51	0.47
0.44	0.45	0.41	0.35
0.44	0.49	0.36	0.36
0.55	0.38	0.44	0.43
0.52	0.35	0.5	0.45
0.44	0.45	0.41	0.35
0.542	0.398	0.49000000000000005	0.44000000000000006
0.55	0.38	0.44	0.43
0.54	0.38	0.45	0.42
0.44	0.49	0.375	0.365
0.44	0.48	0.4	0.35
0.53	0.4	0.49	0.44
0.44	0.485	0.395	0.36
0.55	0.39	0.49	0.44
0.54	0.34	0.47	0.45
0.46	0.41	0.42	0.37
0.44	0.48	0.4	0.35
0.47	0.41	0.46	0.36
0.53	0.4	0.49	0.44
0.42	0.48	0.4	0.36
0.45	0.42	0.46	0.37
0.45	0.42	0.46	0.37
0.49	0.38	0.45	0.36
0.48	0.4	0.455	0.38
0.47	0.42	0.46	0.4
0.53	0.4	0.49	0.44
0.53	0.39	0.46	0.43
0.54	0.34	0.47	0.45
