1.0022,-0.00064,-33.84,-60.08,-54.68,-48.76,-80.96,-61.18,-69.04,-72.44,-86.46,-85.26,-77.7
1.3606,-0.05144,-33.7,-60.64,-54.96,-48.5,-84.02,-64.42,-63.1,-76.62,-81.7,-82.16,-76.56
1.867,-0.03805,-25.94,-59.22,-46.16,-52.16,-79.62,-62.88,-67.32,-79.48,-90.9,-85,-74.28
2.3552,-0.02539,-38.34,-53.52,-57.92,-48.98,-88.44,-65.2,-64.62,-72.76,-87.08,-84.1,-75.36
2.8521,-0.02467,-31.74,-55.02,-45.82,-44.36,-85.84,-63.56,-68.78,-76.28,-91.96,-85.46,-73.3
3.3627,-0.01743,-47.2,-63.38,-52.38,-47.68,-74.26,-59.56,-61.34,-75.04,-87.2,-80.58,-73.98
3.8549,-0.02903,-41.2,-50.88,-51.56,-48.4,-82.6,-64.94,-62.96,-65.96,-83.74,-79.3,-71.78
4.3517,-0.02169,-37.76,-48.28,-48.38,-48.26,-74.76,-64.44,-65.16,-70.6,-91.04,-83.88,-75.66
4.8513,-0.00949,-39.16,-46.06,-49.48,-53.9,-71.66,-62.16,-59.76,-59.02,-95.9,-76.8,-77
5.3536,-0.02032,-45.96,-47.2,-54.18,-56.3,-65.72,-60.24,-67.42,-59,-85.04,-82.38,-79.74
1.0027,0.49887,-38.12,-55.82,-50.68,-44.1,-79.9,-59.58,-61.66,-78.16,-86.42,-83.78,-76.84
1.3797,0.44523,-30.74,-56.02,-57.02,-45.8,-87.44,-64.08,-66.38,-74.72,-96.34,-84.3,-75.1
1.8569,0.27449,-34.1,-54.44,-53.24,-49.46,-85.98,-61,-64.28,-74.32,-87.58,-86.3,-79.06
2.3559,0.22496,-33.08,-57.44,-57.28,-54.78,-77.08,-63.68,-65.42,-74.84,-91,-84.28,-74.48
2.8682,0.22118,-44.5,-53.6,-58.04,-43.48,-87.2,-65.1,-64.34,-73.52,-90.42,-83.34,-73.94
3.3914,0.4361,-33.74,-53.1,-50.96,-44.14,-93.4,-65.12,-61,-73.72,-95.92,-83.36,-74.08
3.8663,0.43487,-45.22,-57.4,-51.26,-50.2,-77.02,-59,-67.9,-69,-86.3,-82.82,-74
4.3518,0.24791,-36.82,-52.5,-46.6,-54.2,-72.56,-64.92,-57.68,-65,-93.42,-82.16,-75.08
4.8552,0.2202,-40.6,-44.1,-56.78,-55.28,-71.24,-61.5,-64.62,-70.8,-87.14,-77.26,-78.7
5.361,0.23991,-37.72,-48.94,-54.56,-57.36,-59.9,-65.88,-61.52,-64.9,-81.78,-78.46,-76.02
5.4919,3.5052,-47.2,-55.28,-50.18,-61.66,-78.7,-58.86,-59.6,-69.16,-83.74,-81.04,-65.42
5.4921,3.147,-40.72,-53.76,-47.02,-57.58,-76.74,-62.38,-59,-74.64,-94.96,-82.36,-69.68
5.4169,2.6066,-50.72,-55.66,-48.7,-49.34,-77.24,-57.62,-61.12,-73.9,-86.4,-79.06,-71.62
5.4413,2.1107,-42.78,-52.66,-51.58,-55.98,-86.28,-60.52,-62.88,-74,-86.52,-80.6,-75.6
5.4357,1.6245,-44.44,-55.5,-50.18,-48.1,-70.4,-63.54,-67.24,-68.64,-98.1,-77.46,-76.5
5.4313,1.1186,-39.36,-52.58,-51.26,-56.52,-77.68,-60.56,-66.76,-74.12,-96.1,-79.96,-73.46
5.449,0.63346,-47.38,-54.44,-54.14,-52.62,-68.84,-59.3,-62.48,-69.76,-95.9,-73.12,-74.42
5.4097,0.10491,-38.98,-51.46,-52.82,-56.08,-76.44,-62.22,-63.42,-62.66,-93.72,-75.46,-72.98
5.3759,-0.41704,-46.22,-51.3,-55.5,-56.94,-67.3,-62.66,-65.14,-63.22,-86.22,-78.6,-75.9
5.4188,-0.88366,-40.88,-47.44,-52.9,-63.14,-65.66,-67.78,-67.78,-66.96,-82.94,-75.2,-74.68
5.3702,-1.4426,-46.32,-46.84,-56.28,-56.78,-70.42,-66.14,-65.16,-68.12,-83.14,-70.54,-75.7
5.3697,-1.9414,-52.16,-44.36,-61.2,-60.88,-68.78,-65.22,-66.74,-66.94,-80.48,-69.5,-76.44
5.3748,-2.4497,-50.8,-40.64,-57.14,-56.7,-59.04,-65.02,-67.84,-59.04,-83.98,-74.4,-79.18
5.4051,-2.897,-47.56,-40.96,-57.34,-59.88,-60.26,-67.44,-74.8,-58,-77.94,-75.44,-83.98
5.4112,-3.4136,-50.42,-34.92,-63.98,-61.86,-65.38,-70.18,-68.94,-64,-80.5,-76.06,-83.94
5.4119,-3.8919,-55.48,-45.06,-57.72,-66.36,-65.98,-71.18,-76.08,-57,-79.48,-75.6,-87.5
5.4469,-4.3732,-59.46,-35.96,-66.46,-65.18,-64.82,-74.08,-79.32,-64.32,-81.06,-74.4,-82.86
5.4636,-4.8549,-53.04,-35.78,-57.48,-67.88,-66.5,-73.04,-77.52,-54.02,-82.1,-66.98,-87.32
5.4475,-5.373,-50.58,-34.46,-60.6,-68.7,-68.72,-73.88,-73.36,-52.78,-77.86,-74.16,-85.6
5.45,-5.8623,-53.46,-36.08,-56.08,-67.82,-71.12,-70.82,-75.8,-49.28,-82.78,-71.12,-84.96
5.4055,-6.4345,-56.76,-35.96,-68.48,-66.36,-59,-72.64,-79.86,-50,-73.22,-68.9,-86.42
5.4087,-6.8978,-54.02,-46,-60.74,-65.04,-59.6,-71.92,-76.06,-56,-76.92,-65.86,-85.02
5.4035,-7.4136,-59.82,-34.04,-66.5,-69.64,-53.5,-71.68,-78.02,-58.92,-80.34,-65,-85.02
5.3987,-7.9116,-61.6,-36.46,-63.44,-66.46,-60.18,-73.22,-75.26,-56.98,-81.94,-68.94,-88.9
5.4219,-8.3953,-61.1,-47.3,-70.18,-68.52,-57.14,-73.64,-79.4,-58,-77.16,-69.1,-88.44
5.4395,-8.8659,-57.68,-37.96,-78.6,-66.12,-64.54,-70.9,-92.74,-58,-81.74,-64.92,-86.48
5.4039,-9.3934,-63.74,-48.04,-75.82,-67.3,-57.02,-73.26,-84.16,-58,-75.48,-60.08,-91.26
5.4289,-9.8869,-60.86,-52.38,-67.26,-69.66,-53.44,-75.98,-82.54,-57.8,-75.46,-62.82,-87.4
5.3933,-10.403,-63.58,-45.64,-69.96,-71.46,-54.1,-73,-83.42,-67.02,-77.18,-61.36,-89.56
5.3889,-10.919,-64.28,-48.94,-69.26,-71.16,-55.84,-74.7,-83.76,-64,-84.1,-60.02,-90.3
5.447,-11.383,-60.96,-54.98,-66.92,-74.18,-44.72,-71.52,-88.88,-62.02,-75.78,-57.86,-88.12
5.4226,-11.905,-65.48,-56.38,-69.5,-73.12,-37.24,-71.1,-91.9,-67,-78.36,-55.38,-87.18
5.0027,3.4989,-40.86,-53.92,-51.96,-60.06,-72,-59.12,-56.7,-73.72,-91.02,-78.9,-66.18
4.9729,3.146,-42.36,-55.22,-42.36,-59.3,-65.04,-58.74,-56.2,-68.62,-89.58,-81.3,-67.44
4.9646,2.6263,-46.14,-54.44,-45.3,-56.14,-66.28,-58.52,-66.36,-63.18,-94.02,-81.84,-67.74
