1.36065,+AC0-0.05144,+AC0-28,+AC0-63,+AC0-48,+AC0-48,+AC0-65,+AC0-62,+AC0-76,+AC0-82,+AC0-65,+AC0-77
1.36065,+AC0-0.05144,+AC0-29,+AC0-63,+AC0-48,+AC0-48,+AC0-65,+AC0-62,+AC0-76,+AC0-82,+AC0-65,+AC0-77
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-77,+AC0-48,+AC0-66,+AC0-63,+AC0-76,+AC0-82,+AC0-85,+AC0-77
1.36065,+AC0-0.05144,+AC0-28,+AC0-63,+AC0-48,+AC0-48,+AC0-66,+AC0-63,+AC0-76,+AC0-81,+AC0-84,+AC0-75
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-48,+AC0-48,+AC0-66,+AC0-62,+AC0-76,+AC0-82,+AC0-86,+AC0-75
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-47,+AC0-48,+AC0-65,+AC0-62,+AC0-76,+AC0-82,+AC0-84,+AC0-75
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-48,+AC0-48,+AC0-65,+AC0-62,+AC0-76,+AC0-82,+AC0-85,+AC0-77
1.36065,+AC0-0.05144,+AC0-28,+AC0-63,+AC0-48,+AC0-48,+AC0-65,+AC0-62,+AC0-76,+AC0-82,+AC0-86,+AC0-77
1.36065,+AC0-0.05144,+AC0-28,+AC0-61,+AC0-47,+AC0-48,+AC0-66,+AC0-62,+AC0-76,+AC0-82,+AC0-85,+AC0-76
1.36065,+AC0-0.05144,+AC0-30,+AC0-61,+AC0-48,+AC0-48,+AC0-66,+AC0-62,+AC0-76,+AC0-82,+AC0-78,+AC0-77
1.36065,+AC0-0.05144,+AC0-28,+AC0-63,+AC0-47,+AC0-48,+AC0-65,+AC0-62,+AC0-77,+AC0-82,+AC0-86,+AC0-78
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-46,+AC0-48,+AC0-66,+AC0-62,+AC0-77,+AC0-82,+AC0-84,+AC0-79
1.36065,+AC0-0.05144,+AC0-28,+AC0-62,+AC0-47,+AC0-74,+AC0-65,+AC0-62,+AC0-77,+AC0-82,+AC0-84,+AC0-76
1.36065,+AC0-0.05144,+AC0-28,+AC0-63,+AC0-47,+AC0-48,+AC0-33,+AC0-63,+AC0-75,+AC0-81,+AC0-85,+AC0-77
