-12.905548 -0.866861 -2.048626
-12.940716 -0.937237 -2.058614
-13.040136 -1.137014 -2.054696
-13.070403 -1.198774 -2.056290
-13.153212 -1.390730 -2.046469
-13.170144 -1.440131 -2.044694
-13.242160 -1.627729 -2.038602
-13.274991 -1.708381 -2.036611
-13.491560 -1.863551 2.879843
-13.743513 -1.781137 2.697902
-13.325589 -1.974445 2.317805
-13.293177 -1.986282 1.980328
-13.242437 -2.169041 2.055327
-13.272856 -2.134795 2.377305
-13.342990 -2.088314 1.099717
-12.763109 -1.236304 1.524688
-12.769901 -1.161048 1.532598
-12.801826 -0.655268 1.610332
-12.812022 -0.640129 1.614094
-12.841359 -0.217096 1.589880
-12.868849 0.143891 1.595292
-12.899916 0.697097 1.610024
-12.948181 0.769793 1.953069
-13.122678 0.842914 2.921949
-13.214853 0.851542 2.971077
-13.710397 0.907572 2.983830
-13.701894 0.905015 2.977584
-14.086683 0.981951 2.887016
-14.363870 1.035959 2.899271
-14.839812 1.123171 2.949633
-14.872749 1.129404 2.960431
-15.350953 1.185730 2.991349
-15.499508 1.203809 2.967647
-15.658481 1.227911 2.923040
-15.803780 1.262405 2.903270
-16.104694 1.343013 2.740258
-16.167978 1.370666 2.708667
-16.676471 1.576654 2.722243
-16.857605 1.643012 2.757209
-17.199221 1.630769 -3.121296
-17.284741 1.594979 -2.761085
-17.627784 1.209871 -2.385512
-17.993928 1.232563 2.969480
-17.985949 1.263504 2.458459
-18.244882 1.635120 2.321704
-18.245237 1.650194 2.911760
-18.793994 1.477440 -3.069235
-18.792638 1.473224 3.029668
-19.393506 1.630519 2.828477
-19.368324 1.615563 -3.090871
-19.900235 1.475454 -2.897075
-19.963147 1.486892 2.934216
-20.387765 1.883469 2.362691
-20.605562 2.015264 2.697411
-21.256984 1.911061 -2.995367
-21.593839 1.850859 -3.075459
-22.049499 1.937759 2.863348
-22.352830 2.009620 2.857449
-23.023669 2.165676 2.857281
-24.471458 2.471975 3.127361
-24.456345 2.496280 -2.551114
-24.623757 2.242070 -2.174408
-24.671105 2.153334 -2.197435
-24.945324 1.770074 -2.305799
-25.041083 1.664336 -2.292138
-25.326281 1.282504 -1.716360
-25.341318 1.290429 -1.131927
-24.988319 1.020933 -0.638393
-24.957079 1.021958 -0.551561
-24.738764 1.149541 0.681942
-24.423003 1.417648 0.680312
-24.448149 1.422234 0.040773
-24.406355 1.408091 0.172115
-23.529651 1.561405 0.087849
-22.272884 1.355425 -0.418373
-22.032680 1.263809 -0.425171
-21.139679 0.937694 -0.382620
-21.167873 0.953535 0.033875
-20.421852 1.097318 0.141781
-20.335422 1.110952 0.000582
-19.972627 0.823028 -0.766728
-19.818658 0.703408 -0.634284
-19.671412 0.731259 0.036501
-19.425955 0.755110 0.010070
-18.709023 0.795824 -0.098199
-18.705719 0.804356 -0.131834
-18.097068 0.684192 0.042225
-18.102788 0.690447 0.709412
-17.783690 1.192581 1.082207
-16.897959 1.282628 0.056036
-16.650051 1.312499 0.043760
-16.211639 1.364983 0.020615
-15.914266 1.377287 -0.018550
-15.430983 1.358416 -0.212622
-15.390514 1.357193 -0.232663
-14.663890 1.216344 -0.271477
-14.301127 1.137647 -0.275841
-14.038585 0.974511 -0.915381
-13.748204 0.677390 -0.883354
-13.401614 0.280759 -0.885644
-13.326114 0.193393 -0.876584
-12.758643 0.199743 -0.040843
-12.721261 0.192726 -0.341366
-12.364055 0.014415 -0.562833
-12.209007 -0.069119 -0.573772
